product_code,product_name,2026-08-15,2026-08-14,2026-08-13,2026-08-12,2026-08-11,2026-08-10,2026-08-09,2026-08-08
33483494,+0asis 600SB 벌크,15980,15980,15980,15980,15980,15980,15980,15980
15323429,+0asis Cool 600SB6P V2.3 벌크,15900,15900,15900,15900,15900,15900,15900,15900
15362705,+0asis Cool 700GP V2.3 벌크,30000,30000,30000,30000,30000,30000,30000,30000
71161970,3RSYS AK 1000W 80PLUS브론즈 모듈러 ATX3.1,78500,78500,78500,78500,78500,78500,78500,78500
12690218,3RSYS AK 500S 80PLUS스탠다드 230V EU,43500,43500,43500,43500,43500,43500,43500,43500
12690239,3RSYS AK 600S 80PLUS스탠다드 230V EU,48500,48500,48500,48500,48500,48500,48500,48500
12690251,3RSYS AK 700S 80PLUS스탠다드 230V EU,57720,57720,57720,57720,57720,57720,57720,57720
71162267,3RSYS AK 750W 80PLUS브론즈 모듈러 ATX3.1,58500,58500,58500,58500,58500,58500,58500,58500
12838997,3RSYS AK 800S 80PLUS스탠다드 230V EU,64050,64050,64050,64550,64550,64550,64550,64550
71162030,3RSYS AK 850W 80PLUS브론즈 모듈러 ATX3.1,66000,66000,66000,66000,66000,66000,66000,66000
18698168,3RSYS FORCE 600W,43490,43490,43490,43490,43490,43490,43490,43490
10345683,ABB코리아 UPS PowerValue 11 RT 1kVA B,600000,600000,600000,600000,600000,600000,600000,600000
10345953,ABB코리아 UPS PowerValue 11 RT 2kVA B,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000
10346019,ABB코리아 UPS PowerValue 11 RT 3kVA B,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000
10346166,ABB코리아 UPS PowerValue 11RT G2 10 kVA,7700000,7700000,7700000,7700000,7700000,7700000,7700000,7700000
10346133,ABB코리아 UPS PowerValue 11RT G2 6 kVA,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000
10346316,ABB코리아 UPS PowerValue 11T G2 1 kVA B,480000,480000,480000,480000,480000,480000,480000,480000
10346469,ABB코리아 UPS PowerValue 11T G2 10 kVA B,4100000,4100000,4100000,4100000,4100000,4100000,4100000,4100000
10346379,ABB코리아 UPS PowerValue 11T G2 2 kVA B,900000,900000,900000,900000,900000,900000,900000,900000
10346421,ABB코리아 UPS PowerValue 11T G2 3 kVA B,960000,960000,960000,960000,960000,960000,960000,960000
10346451,ABB코리아 UPS PowerValue 11T G2 6 kVA B,3150000,3150000,3150000,3150000,3150000,3150000,3150000,3150000
123743667,ABSL ABL CELL 760GT PFC (중고),10000,10000,10000,10000,10000,10000,10000,10000
9802053,ANIX AXP 600W 80PLUS브론즈,43980,43980,43980,43980,43980,43980,43980,43980
14705492,ANIX 듀얼파워 커넥터,3160,3160,3160,3160,3160,3160,3160,3160
2459011,AONE 500P KC,23478,23730,23730,23730,23730,23730,23730,23730
14759639,AONE 500S KC (벌크),15870,15870,15870,15870,15870,15870,15870,15870
2932261,AONE 600T KC,29500,29500,29500,29500,29500,29500,29500,29500
2935745,AONE MICRO 500P KC,24970,24000,24970,24000,24970,24000,24000,24000
32037200,AONE MICRO 600P,31940,31940,31940,31600,31600,31600,31940,31940
66051566,AONE Micro 450P,21490,21000,21490,21490,21490,21490,21490,21490
66051584,AONE Micro 450P 벌크,18960,18960,18960,18960,18960,18960,18960,18960
2615457,AONE Micro 450P-KC,19000,19000,19000,19000,19000,19000,19000,19000
2950192,AONE Micro 450P-KC 벌크,19000,19000,19000,19000,19000,19000,19000,19000
75071093,AONE NEW STORM 500LF 더블포워드 벌크,31000,31000,31000,31000,31000,31000,31000,31000
18213719,AONE STORM 1000W 80PLUS브론즈,84990,84990,84990,84990,84940,84940,84940,84940
122668109,AONE STORM 1000W 80PLUS브론즈 (중고),77780,77780,77780,77780,77780,77780,77780,77780
17764373,AONE STORM 1000W 80PLUS브론즈 벌크,84960,84960,84960,84960,84940,84940,84440,84940
10373682,AONE STORM 500LF,33000,33000,33000,33000,33000,33000,33000,33000
4801762,AONE STORM 500LF 더블포워드 V2.3,31000,31000,31000,31000,31000,31000,31000,31000
4879239,AONE STORM 500LF 더블포워드 V2.3 벌크,30970,30500,30500,30970,30500,30500,30500,30500
9978645,AONE STORM 500LF 벌크,30990,30990,30990,30990,30990,30990,30990,30990
9431322,AONE STORM 500W 80PLUS브론즈,43000,43000,43000,43000,43000,43000,43000,43000
9431340,AONE STORM 500W 80PLUS브론즈 벌크,40980,39000,40980,40980,40980,40980,40980,40980
107989337,AONE STORM 500W 80PLUS스탠다드,39500,39500,39500,40000,40000,40000,40000,40500
107989670,AONE STORM 500W 80PLUS스탠다드 벌크,39000,39000,39000,39000,39000,39000,39000,39000
10373727,AONE STORM 600LF,37000,37000,37000,37000,37000,37000,37000,37000
112226212,AONE STORM 600LF 83+ 벌크,36000,36000,36000,36000,36000,36000,36000,36000
5213968,AONE STORM 600LF A-PFC,37500,37500,37500,37500,37500,37500,37500,37500
5213975,AONE STORM 600LF A-PFC 벌크,35000,35000,35000,35000,35000,35000,35000,35000
9789456,AONE STORM 600LF 벌크,34990,34990,34990,34990,34990,34990,34990,34990
9431433,AONE STORM 600W 80PLUS브론즈,48000,48000,48000,48000,48000,48000,48000,48000
11412288,AONE STORM 600W 80PLUS브론즈 벌크,45990,45990,45990,45990,45990,45990,45990,45990
72476015,AONE STORM 600W 80PLUS브론즈 화이트,55000,55000,55000,55000,55000,55000,55000,55000
107990141,AONE STORM 600W 80PLUS스탠다드,43490,43490,43490,43490,43490,43490,43490,43490
107990642,AONE STORM 600W 80PLUS스탠다드 벌크,39990,39990,39990,39990,39990,39990,39990,39990
9431586,AONE STORM 700K 80PLUS브론즈 벌크,56980,56980,56980,56980,53000,53000,53000,53000
20635220,AONE STORM 700LF,46956,47470,47470,47470,47470,47470,47470,47470
73121675,AONE STORM 700LF 벌크,42980,42980,42980,42980,42980,42980,42980,42980
9431529,AONE STORM 700W 80PLUS브론즈,55000,55000,55000,55000,55000,55000,55000,55000
12583295,AONE STORM 700W 80PLUS브론즈 벌크,50980,50980,50980,50980,50980,50980,50980,50980
72476114,AONE STORM 700W 80PLUS브론즈 화이트,62000,62000,62000,62000,61990,61990,61990,61990
107990732,AONE STORM 700W 80PLUS스탠다드,47000,47000,47000,47000,47000,47000,47000,47000
107990744,AONE STORM 700W 80PLUS스탠다드 벌크,44690,44690,44690,44690,44690,44690,44690,44690
54959051,AONE STORM 750W 80PLUS브론즈 플랫,77420,77420,77420,77420,77420,77420,77420,77420
12723485,AONE STORM 800K 80PLUS브론즈 벌크,66980,66980,66980,66980,66980,66980,66980,66980
9431634,AONE STORM 800W 80PLUS브론즈,64870,64870,64870,64870,62000,62000,64870,64870
122668097,AONE STORM 800W 80PLUS브론즈 (중고),63450,63450,63450,63450,63450,63450,63450,63450
15207521,AONE STORM 800W 80PLUS브론즈 벌크,61950,61950,61950,61950,61950,61950,61950,61950
107990771,AONE STORM 800W 80PLUS스탠다드,50000,50000,50000,50000,50000,50000,50000,50000
107990783,AONE STORM 800W 80PLUS스탠다드 벌크,52000,52000,52000,52000,52000,52000,52000,52000
32036993,AONE STORM SFX 300LF,32970,32970,32970,32970,31000,31000,31000,31500
2310854,AONE TFX 450P,23690,23690,23690,23690,23690,23690,23690,23690
3099460,AONE TFX-450P KC,23990,23990,23990,23990,23990,23990,23990,23990
2944698,AONE TFX-500P KC,31640,31640,31640,31640,30400,30900,30900,30900
103750571,AONE 시그니처 1000W 80PLUS골드 풀모듈러 ATX3.1 블랙,108000,108000,108000,108000,108000,108000,108000,108000
103750586,AONE 시그니처 1000W 80PLUS골드 풀모듈러 ATX3.1 화이트,114000,114000,114000,114000,114000,114000,114000,114000
39912800,AONE 시그니처 1000W 80PLUS브론즈 풀모듈러 ATX3.1,97500,97500,97500,97500,97500,97500,97500,97500
39912806,AONE 시그니처 1000W 80PLUS브론즈 풀모듈러 베이직 ATX3.1,94500,94990,92730,92730,92730,92730,92730,92730
122668206,AONE 시그니처 1000W 80PLUS브론즈 풀모듈러 베이직 ATX3.1 (중고),82880,82880,82880,82880,82880,82880,82880,82880
103750694,AONE 시그니처 1300W 80PLUS골드 풀모듈러 ATX3.1 블랙,133000,133000,133000,133000,133000,133000,133000,133000
103750733,AONE 시그니처 1300W 80PLUS골드 풀모듈러 ATX3.1 화이트,133750,133750,133750,133750,133750,133750,133750,133750
103750379,AONE 시그니처 750W 80PLUS골드 풀모듈러 ATX3.1 블랙,81400,81400,81400,81400,81400,81400,81400,81400
103750445,AONE 시그니처 750W 80PLUS골드 풀모듈러 ATX3.1 화이트,86540,86540,86540,86540,86540,86540,86540,86540
39912728,AONE 시그니처 750W 80PLUS브론즈 풀모듈러 ATX3.1,79900,79900,79900,79900,79900,79900,79900,79900
39912734,AONE 시그니처 750W 80PLUS브론즈 풀모듈러 베이직 ATX3.1,69170,69480,69300,69300,67500,67500,67500,67500
72475946,AONE 시그니처 750W 80PLUS브론즈 풀모듈러 베이직 ATX3.1 화이트,69170,70000,70000,70000,69780,69850,69300,69300
