product_code,product_name,first_collected_date
122720851,삼성전자 더 프레임 KQ98LSH03EFXKR (스탠드),2026-07-03
122720771,"삼성전자 더 프레임 KQ85LSH03EFXKR (스탠드, 챔퍼 샌드골드)",2026-07-03
122720756,삼성전자 더 프레임 KQ85LSH03EFXKR (스탠드),2026-07-03
122720727,"삼성전자 더 프레임 KQ75LSH03EFXKR (스탠드, 챔퍼 샌드골드)",2026-07-03
122720694,삼성전자 더 프레임 KQ75LSH03EFXKR (스탠드),2026-07-03
122720668,"삼성전자 더 프레임 KQ65LSH03EFXKR (스탠드, 플랫 화이트)",2026-07-03
122720624,삼성전자 더 프레임 KQ65LSH03EFXKR (스탠드),2026-07-03
122720611,"삼성전자 더 프레임 KQ43LSH03EFXKR (스탠드, 챔퍼 샌드골드)",2026-07-03
122720556,삼성전자 더 프레임 KQ43LSH03EFXKR (스탠드),2026-07-03
122720516,"삼성전자 더 프레임 KQ55LSH03EFXKR (스탠드, 플랫 화이트)",2026-07-03
122720501,"삼성전자 더 프레임 KQ55LSH03EFXKR (스탠드, 챔퍼 샌드골드)",2026-07-03
122720381,삼성전자 더 프레임 KQ55LSH03EFXKR (스탠드),2026-07-03
122637268,삼성전자 올레드 KQ77SH90AFXKR (스탠드),2026-07-03
122720245,글로벌전자 GB4000FHD (벽걸이),2026-07-05
122700964,삼성전자 네오QLED KQ115QNF90FXKR (삼성 20% 환급),2026-07-05
122723007,LG전자 Mini RGB evo AI 55MRGB86BKA (벽걸이),2026-07-07
122722959,LG전자 Mini RGB evo AI 55MRGB86BKA (스탠드),2026-07-07
122722945,LG전자 Mini RGB evo AI 65MRGB86BKA (벽걸이),2026-07-07
122722885,LG전자 Mini RGB evo AI 65MRGB86BKA (스탠드),2026-07-07
122722819,LG전자 Mini RGB evo AI 75MRGB86BKA (벽걸이),2026-07-07
122722802,LG전자 Mini RGB evo AI 75MRGB86BKA (스탠드),2026-07-07
122722780,LG전자 Mini RGB evo AI 86MRGB86BKA (벽걸이),2026-07-07
122722703,LG전자 Mini RGB evo AI 86MRGB86BKA (스탠드),2026-07-07
122723743,LG전자 갤러리 TV AI 65LX7BKNA (스탠드),2026-07-07
122723571,LG전자 시그니처 올레드 T OLED77T6KNA (스탠드),2026-07-07
122723361,LG전자 시그니처 올레드 W OLED83W6KNA (벽걸이),2026-07-07
122724632,LG전자 스윙 27U731SBW 이동형 패키지 (LG 스윙 스탠드 라이트),2026-07-08
122724456,LG전자 스윙 32U501SBW 이동형 패키지 (LG 스윙 스탠드 라이트),2026-07-08
122724536,LG전자 스윙 37U730SAW 이동형 패키지 (LG 스윙 스탠드 라이트),2026-07-08
122724780,삼성전자 무빙스타일 M5 M50F LS32FM501 이동형 패키지 (스마트마운트 FMS101W),2026-07-08
122724934,삼성전자 무빙스타일 M5 M50F LS32FM501 이동형 패키지 (스마트마운트 VI-201-S(화이트)),2026-07-08
122619989,삼성전자 LH43BEFHLGFXKR (삼성 무빙 라이트(선반)),2026-07-09
122728628,"LG전자 스탠바이미2 Max 32LX6BPGAA (+스피커, XT7S)",2026-07-10
122652304,삼성전자 Crystal UHD KU43UH8500FXKR (스탠드),2026-07-15
123539065,LG전자 올레드 AI OLED48B6NNA (벽걸이),2026-07-22
123539057,LG전자 올레드 AI OLED48B6NNA (스탠드),2026-07-22
123539109,LG전자 올레드 AI OLED55B6NNA (벽걸이),2026-07-22
123539100,LG전자 올레드 AI OLED55B6NNA (스탠드),2026-07-22
123539157,LG전자 올레드 AI OLED65B6NNA (벽걸이),2026-07-22
123539149,LG전자 올레드 AI OLED65B6NNA (스탠드),2026-07-22
123539242,LG전자 올레드 AI OLED77B6NNA (벽걸이),2026-07-22
123539185,LG전자 올레드 AI OLED77B6NNA (스탠드),2026-07-22
123538806,LG전자 올레드 evo AI OLED42C6ENA (벽걸이),2026-07-22
123538803,LG전자 올레드 evo AI OLED42C6ENA (스탠드),2026-07-22
123538845,LG전자 올레드 evo AI OLED48C6ENA (벽걸이),2026-07-22
123538843,LG전자 올레드 evo AI OLED48C6ENA (스탠드),2026-07-22
123538898,LG전자 올레드 evo AI OLED55C6ENA (벽걸이),2026-07-22
123538877,LG전자 올레드 evo AI OLED55C6ENA (스탠드),2026-07-22
123538950,LG전자 올레드 evo AI OLED65C6ENA (벽걸이),2026-07-22
123538932,LG전자 올레드 evo AI OLED65C6ENA (스탠드),2026-07-22
123590638,LG전자 NANO 4K UHD AI 98NU850BENB (벽걸이),2026-07-23
123590610,LG전자 NANO 4K UHD AI 98NU850BENB (스탠드),2026-07-23
123590172,LG전자 QNED evo AI 65QNED91BKA (벽걸이),2026-07-23
