product_code,product_name,first_collected_date
122721327,NZXT F360U RGB (화이트),2026-07-03
122721322,NZXT F360U RGB (블랙),2026-07-03
122721314,NZXT F140U RGB (화이트),2026-07-03
122721311,NZXT F140U RGB (블랙),2026-07-03
122721305,NZXT F120U RGB (화이트),2026-07-03
122721303,NZXT F120U RGB (블랙),2026-07-03
122720949,NOCTUA NL-ACF1,2026-07-03
122721368,NZXT F120 RGB V2 (블랙),2026-07-04
122721372,NZXT F120 RGB V2 (화이트),2026-07-04
122721385,NZXT F140 RGB V2 (블랙),2026-07-04
122721389,NZXT F140 RGB V2 (화이트),2026-07-04
122721441,NZXT F360 RGB Reverse V2 (블랙),2026-07-04
122721443,NZXT F360 RGB Reverse V2 (화이트),2026-07-04
122721425,NZXT F360 RGB V2 (블랙),2026-07-04
122721430,NZXT F360 RGB V2 (화이트),2026-07-04
122721505,NZXT F420 RGB Reverse V2 (블랙),2026-07-04
122721511,NZXT F420 RGB Reverse V2 (화이트),2026-07-04
122721518,NZXT F420 RGB V2 (블랙),2026-07-04
122721528,NZXT F420 RGB V2 (화이트),2026-07-04
122727131,아이구주 GF120 V2 PWM ARGB (블랙),2026-07-09
122727135,아이구주 GF120 V2 PWM ARGB (화이트),2026-07-09
122727147,아이구주 GF140 V2 PWM ARGB (블랙),2026-07-09
122727149,아이구주 GF140 V2 PWM ARGB (화이트),2026-07-09
122692432,Thermalright W360 EPYC SP6 서린 (블랙),2026-07-10
122728459,잘만 CNPS15X BP 휨제로 (블랙),2026-07-10
122728501,쿨러마스터 MasterLiquid Core LCD 6인치 360 ARGB (블랙),2026-07-10
122728507,쿨러마스터 MasterLiquid Core LCD 6인치 360 ARGB (화이트),2026-07-10
122828935,쿨러마스터 DT600 (화이트),2026-07-10
122829075,SilverStone SST-XE360-TR5-V2 마이크로닉스,2026-07-11
122829056,잘만 CNPS15X BP 휨제로 ARGB (블랙),2026-07-11
122829009,쿨러마스터 MasterFan A120 (블랙),2026-07-11
122829043,쿨러마스터 MasterFan M120 ARGB (블랙),2026-07-11
122930965,ALSEYE C-RAM-Alpha-B (블랙),2026-07-14
122930953,ALSEYE C-RAM-Alpha-S (실버),2026-07-14
122930977,ALSEYE C-RAM-Beta-B (블랙),2026-07-14
122930981,ALSEYE C-RAM-Beta-S (실버),2026-07-14
122930582,리안리 HydroShift II OLED Curved 360Fanless (블랙),2026-07-14
122930584,리안리 HydroShift II OLED Curved 360Fanless (화이트),2026-07-14
122930556,리안리 HydroShift II OLED Curved 360P28 (블랙),2026-07-14
122930566,리안리 HydroShift II OLED Curved 360P28 (화이트),2026-07-14
122930512,리안리 HydroShift II OLED Curved 360TL (블랙),2026-07-14
122930541,리안리 HydroShift II OLED Curved 360TL (화이트),2026-07-14
123033168,ALSEYE T12 (4g),2026-07-15
123133608,리안리 B4-mATX Vertical AeroDeck (비치화이트),2026-07-15
123133601,리안리 B4-mATX Vertical AeroDeck (월넛 블랙),2026-07-15
123032247,잘만 CNPS12X BP 휨제로 (블랙),2026-07-15
123032269,잘만 CNPS12X BP 휨제로 ARGB (블랙),2026-07-15
123236288,COOLLEO B50S PWM 3RSYS (블랙),2026-07-17
123235201,GIGABYTE EAGLE 360,2026-07-17
123235229,GIGABYTE EAGLE 360 ICE,2026-07-17
123236254,리안리 O11 Vision-M 9.2” LCD Kit (블랙),2026-07-17
123236263,리안리 O11 Vision-M 9.2” LCD Kit (화이트),2026-07-17
123537896,3RSYS RC1500 ARGB 쌍철봉 LITE (블랙),2026-07-22
123537907,3RSYS RC1500 ARGB 쌍철봉 LITE (화이트),2026-07-22
123537923,3RSYS RC1500N PWM 쌍철봉 LITE (블랙),2026-07-22
123537928,3RSYS RC1500N PWM 쌍철봉 LITE (화이트),2026-07-22
122708330,ASUS ROG STRIX SLC IV 360 ARGB LCD 대원씨티에스 (화이트),2026-07-22
123589017,TCOMAS CUBE 360 ARGB (블랙),2026-07-22
123589031,TCOMAS CUBE 360 ARGB (화이트),2026-07-22
123539254,이그닉 120 시스템 쿨링팬 PWM (블랙),2026-07-22
123539295,이그닉 120 시스템 쿨링팬 PWM 리버스 (블랙),2026-07-22
123589464,1stPlayer HUB2,2026-07-23
123605055,TCOMAS EDGE DUAL LCD 360 ARGB (블랙),2026-07-23
123605067,TCOMAS EDGE DUAL LCD 360 ARGB (화이트),2026-07-23
123589117,TCOMAS EXIT D3 PRO 360 ARGB (블랙),2026-07-23
123589136,TCOMAS EXIT D3 PRO 360 ARGB (화이트),2026-07-23
123605101,TCOMAS LE200 360 ARGB (블랙),2026-07-23
123605174,"TCOMAS LYNK FC700 PRO ARGB (3팩, 블랙)",2026-07-23
123605196,"TCOMAS LYNK FC700 PRO ARGB (3팩, 화이트)",2026-07-23
123589153,TCOMAS NEOX PRO 360 AMOLED ARGB (블랙),2026-07-23
123589157,TCOMAS NEOX PRO 360 AMOLED ARGB (화이트),2026-07-23
123589991,아이보라 2U-TR5,2026-07-23
123605586,DEEPCOOL FD12 ARGB V2 (블랙),2026-07-24
123605287,TCOMAS LE200 360 ARGB (화이트),2026-07-24
123605271,"TCOMAS LYNK FC700 PRO ARGB 리버스 (3팩, 블랙)",2026-07-24
123605305,"TCOMAS LYNK FC700 PRO ARGB 리버스 (3팩, 화이트)",2026-07-24
123606428,몬스타 가츠 X30M 120 시스템팬 (화이트),2026-07-24
123606522,아이구주 GA360 PWM ARGB (블랙),2026-07-24
123606531,아이구주 GA360 PWM ARGB (화이트),2026-07-24
123621080,JONSBO DS916 LCD 디스플레이 (블랙),2026-07-24
123621811,Antec VORTEX VIEW 360 (블랙),2026-07-25
123621084,JONSBO DS916 LCD 디스플레이 (화이트),2026-07-25
123622057,마이크로닉스 ICEROCK MA-500 (블랙),2026-07-25
123622063,마이크로닉스 ICEROCK MA-500 (화이트),2026-07-25
123670068,Thermalright Peerless Assassin 120 SE V3 서린,2026-07-29
123681844,리버네트워크 NEXI NX-M2-PX4HS (NX1706 ),2026-07-30
123693723,3RSYS RC380N PWM 무뽑방지 키트 (블랙),2026-07-31
123696526,PCCOOLER CPS LR360D (블랙),2026-08-01
123696477,PCCOOLER CPS LR360S (블랙),2026-08-01
123695742,Phanteks GLACIER ONE 360M25 LCD (블랙),2026-08-01
123695744,Phanteks GLACIER ONE 360M25 LCD (화이트),2026-08-01
123695783,쿨러마스터 V8 ACE 3DHP AMD Optimized (블랙),2026-08-01
123695792,쿨러마스터 V8 ACE 3DHP INTEL Optimized (블랙),2026-08-01
123721552,SUDOKOO ENERGLO 360 (블랙),2026-08-03
123721597,SUDOKOO ENERGLO 360 (화이트),2026-08-03
123721523,SUDOKOO PROTEUS360 (블랙),2026-08-03
123721634,SUDOKOO SK700V MACH (블랙),2026-08-03
123721792,"SUDOKOO MACH120 (3팩, 블랙)",2026-08-04
123721747,SUDOKOO MACH120 (블랙),2026-08-04
123721769,SUDOKOO MACH120 (화이트),2026-08-04
123721808,SUDOKOO MACH140 (블랙),2026-08-04
123721821,SUDOKOO MACH140 (화이트),2026-08-04
123721688,SUDOKOO SK620V (블랙),2026-08-04
123721661,SUDOKOO SK620V (화이트),2026-08-04
123743040,"EZDIY-FAB RH01 aRGB 메모리 히트싱크 (2팩, 블랙)",2026-08-06
123743049,"EZDIY-FAB RH01 aRGB 메모리 히트싱크 (2팩, 화이트)",2026-08-06
123763005,앱코 H9 120 ARGB V2 PWM (화이트),2026-08-07
123763015,앱코 H9 120 ARGB V2 PWM 리버스 (화이트),2026-08-07
123799663,"ASUS ROG Eurux GR120 ARGB (3팩, 블랙)",2026-08-11
123799751,"ASUS ROG Eurux GR120 ARGB (3팩, 화이트)",2026-08-11
123799587,ASUS ROG Eurux GR120 ARGB (블랙),2026-08-11
123799625,ASUS ROG Eurux GR120 ARGB (화이트),2026-08-11
123799979,"ASUS ROG Eurux GR120 ARGB Reverse (3팩, 블랙)",2026-08-11
123799983,"ASUS ROG Eurux GR120 ARGB Reverse (3팩, 화이트)",2026-08-11
123799928,ASUS ROG Eurux GR120 ARGB Reverse (블랙),2026-08-11
123799940,ASUS ROG Eurux GR120 ARGB Reverse (화이트),2026-08-11
123803831,PCCOOLER CPS DV360 ARGB DISPLAY (블랙),2026-08-12
123803841,PCCOOLER CPS DV360 ARGB DISPLAY (화이트),2026-08-12
123971747,PentaWave Z06D EVO,2026-08-20
123972002,쿨러마스터 DT600 (블랙),2026-08-20
123972011,쿨러마스터 MasterFan A140 (블랙),2026-08-20
123981553,EVERCOOL EC12025HH12BA 3P RPM CONTROL,2026-08-21
123981667,EVERCOOL EC155B-915BP SLIM,2026-08-21
123981617,EVERCOOL EC3010L05B 2P,2026-08-21
123981619,EVERCOOL EC3510L05BA 3P,2026-08-21
123981625,EVERCOOL EC4010H12E 2P,2026-08-21
123981693,EVERCOOL EC4010TH12BA 3P,2026-08-21
123981635,EVERCOOL EC6010HH12EA 3P,2026-08-21
123981631,EVERCOOL EC6010L12EA 3P,2026-08-21
123981652,EVERCOOL EC8025L12EA 3P,2026-08-21
123981656,EVERCOOL EC9225L12EA,2026-08-21
123981541,EVERCOOL U9225(EC9225M05E-USB),2026-08-21
123981759,PCCOOLER CPS F7X120B ARGB (블랙),2026-08-21
123981778,PCCOOLER CPS F7X120B ARGB (화이트),2026-08-21
123982468,러빙쿨 AK-240-03 ARGB 디지털 2열 수랭쿨러 (블랙),2026-08-21
123982461,러빙쿨 AK-240-03 ARGB 디지털 2열 수랭쿨러 (화이트),2026-08-21
123982409,러빙쿨 AK-360-03 ARGB 디지털 3열 수랭쿨러 (블랙),2026-08-21
123982415,러빙쿨 AK-360-03 ARGB 디지털 3열 수랭쿨러 (화이트),2026-08-21
123982681,러빙쿨 AP1000 듀얼타워 공랭쿨러 (블랙),2026-08-21
123982692,러빙쿨 AP1000 듀얼타워 공랭쿨러 (화이트),2026-08-21
123982649,러빙쿨 AP300 싱글타워 공랭쿨러 (블랙),2026-08-21
123982665,러빙쿨 AP300 싱글타워 공랭쿨러 (화이트),2026-08-21
123982577,러빙쿨 DP-360-01 ARGB LCD 3열 수랭쿨러 (블랙),2026-08-21
123982582,러빙쿨 DP-360-01 ARGB LCD 3열 수랭쿨러 (화이트),2026-08-21
123982548,러빙쿨 HK-240-01 ARGB 2열 수랭쿨러 (블랙),2026-08-21
123982557,러빙쿨 HK-240-01 ARGB 2열 수랭쿨러 (화이트),2026-08-21
123982498,러빙쿨 HK-360-01 ARGB 3열 수랭쿨러 (블랙),2026-08-21
123982539,러빙쿨 HK-360-01 ARGB 3열 수랭쿨러 (화이트),2026-08-21
123982750,러빙쿨 LG-240-Y ARGB PWM 2열 쿨링팬 (블랙),2026-08-21
123982761,러빙쿨 LG-240-Y ARGB PWM 2열 쿨링팬 (화이트),2026-08-21
123982816,러빙쿨 LG-240Pro-Y ARGB PWM 2열 쿨링팬 (블랙),2026-08-21
123982824,러빙쿨 LG-240Pro-Y ARGB PWM 2열 쿨링팬 (화이트),2026-08-21
123982786,러빙쿨 LG-360-Y ARGB PWM 3열 쿨링팬 (블랙),2026-08-21
123982800,러빙쿨 LG-360-Y ARGB PWM 3열 쿨링팬 (화이트),2026-08-21
123982839,러빙쿨 LG-360Pro-Y ARGB PWM 3열 쿨링팬 (블랙),2026-08-21
123982845,러빙쿨 LG-360Pro-Y ARGB PWM 3열 쿨링팬 (화이트),2026-08-21
123982607,러빙쿨 R600 ARGB 싱글타워 (블랙),2026-08-21
123982615,러빙쿨 R600 ARGB 싱글타워 (화이트),2026-08-21
123981480,러빙쿨 SC70-Third Place ARGB LCD 360 (블랙),2026-08-21
123981491,러빙쿨 SC70-Third Place ARGB LCD 360 (화이트),2026-08-21
