product_code,product_name,first_collected_date
122720294,몬스타 가츠 PrimeX X600W 83 FLAT 화이트,2026-07-03
122720272,몬스타 가츠 PrimeX X500W 83 FLAT 화이트,2026-07-03
122720249,마이크로닉스 WIZMAX 850W 80PLUS골드 ATX 3.1,2026-07-03
122720233,마이크로닉스 WIZMAX 750W 80PLUS골드 ATX 3.1,2026-07-03
122728285,쿨러마스터 MWE Gold V4 1000 ATX3.1 블랙,2026-07-10
122728300,쿨러마스터 MWE Gold V4 850 ATX3.1 블랙,2026-07-10
123031851,엔티스 EN 500W 벌크,2026-07-15
123031879,엔티스 EN 600W 벌크,2026-07-15
123134505,ASUS ROG THOR 1600W Titanium III EVO,2026-07-16
123436358,GreatWall CRPS 백플레인 GW-BKPV2CBM,2026-07-21
123436679,GreatWall CRPS 백플레인 GW-BKPV2DM,2026-07-21
123436755,엔티스 EA 500W 80PLUS스탠다드 230V EU 벌크,2026-07-21
123436729,엔티스 EA 600W 80PLUS스탠다드 230V EU 벌크,2026-07-21
123537826,Antec NeoECO 1000W 80PLUS플래티넘 풀모듈러 ATX 3.1,2026-07-22
123537842,Antec NeoECO 1200W 80PLUS플래티넘 풀모듈러 ATX 3.1,2026-07-22
123537805,Antec NeoECO 850W 80PLUS플래티넘 풀모듈러 ATX 3.1,2026-07-22
123539013,쿨러마스터 V PLATINUM 3000 Workstation ATX3.1,2026-07-22
123798448,오쓰 X 쿨러마스터 BRONZE 550 ATX3.1 블랙,2026-08-10
123798474,오쓰 X 쿨러마스터 BRONZE 650 ATX3.1 블랙,2026-08-10
123798485,오쓰 X 쿨러마스터 BRONZE 650 ATX3.1 블랙 벌크,2026-08-10
123798482,오쓰 X 쿨러마스터 BRONZE 650 ATX3.1 화이트,2026-08-10
123799477,오쓰 X 쿨러마스터 BRONZE 550 ATX3.1 블랙 벌크,2026-08-11
123798520,오쓰 X 쿨러마스터 BRONZE 750 ATX3.1 블랙,2026-08-11
123798538,오쓰 X 쿨러마스터 BRONZE 750 ATX3.1 블랙 벌크,2026-08-11
123798533,오쓰 X 쿨러마스터 BRONZE 750 ATX3.1 화이트,2026-08-11
123994368,잘만 GV2SE 600W 80PLUS브론즈,2026-08-22
123994399,잘만 GV2SE 700W 80PLUS브론즈,2026-08-22
123994433,잘만 GV2SE 800W 80PLUS브론즈,2026-08-22
